頭文字,製品名,登録番号,列1,用途,有効成分-1,RACｺｰﾄﾞ-1,有効成分-2,RACｺｰﾄﾞ-2,有効成分-3,RACｺｰﾄﾞ-3,有効成分-4,RACｺｰﾄﾞ-4,有効成分-5,RACｺｰﾄﾞ-5
漢字,家庭園芸用ｶﾘｸﾞﾘｰﾝ,23261,,殺菌剤,炭酸水素ｶﾘｳﾑ,NC,,,,,,,,
ト,ﾄﾗｲﾌﾛｱﾌﾞﾙ,23263,,殺菌剤,ﾃﾌﾞﾌﾛｷﾝ,U16,,,,,,,,
ク,ｸﾐｱｲﾄﾗｲﾌﾛｱﾌﾞﾙ,23264,,殺菌剤,ﾃﾌﾞﾌﾛｷﾝ,U16,,,,,,,,
ト,ﾄﾘﾌﾐﾝｼﾞｪｯﾄ,23276,,殺菌剤,ﾄﾘﾌﾙﾐｿﾞｰﾙ,3,,,,,,,,
漢字,新富士ﾄﾘﾌﾐﾝｼﾞｪｯﾄ,23277,,殺菌剤,ﾄﾘﾌﾙﾐｿﾞｰﾙ,3,,,,,,,,
セ,ｾﾙｶﾃﾞｨｽﾌﾛｱﾌﾞﾙ,23292,,殺菌剤,ﾌﾙｷｻﾋﾟﾛｷｻﾄﾞ,7,,,,,,,,
ク,ｸﾐｱｲｺﾗﾄｯﾌﾟ1ｷﾛ粒剤12,23294,,殺菌剤,ﾋﾟﾛｷﾛﾝ,16.1,,,,,,,,
ク,ｸﾐｱｲｺﾗﾄｯﾌﾟ粒剤24,23295,,殺菌剤,ﾋﾟﾛｷﾛﾝ,16.1,,,,,,,,
ク,ｸﾐｱｲｺﾗﾄｯﾌﾟ粒剤5,23296,,殺菌剤,ﾋﾟﾛｷﾛﾝ,16.1,,,,,,,,
ヒ,ﾋﾟｸｼｵDF,23298,,殺菌剤,ﾌｪﾝﾋﾟﾗｻﾞﾐﾝ,17,,,,,,,,
漢字,微量注入用ｳｯﾄﾞｷﾝｸﾞDASH,23301,,殺菌剤,ﾄﾘﾎﾘﾝ,3,,,,,,,,
ナ,ﾅｲｽｶｯﾌﾟﾙ,23317,,殺菌剤,ｵｷｿﾘﾆｯｸ酸,31,ｽﾄﾚﾌﾟﾄﾏｲｼﾝ硫酸塩,25,,,,,,
タ,ﾀﾞﾗｰｷｯｸ,23329,,殺菌剤,ﾌﾟﾛｼﾐﾄﾞﾝ,2,,,,,,,,
イ,ｲﾝﾀｰﾌｪｰｽﾌﾛｱﾌﾞﾙ,23359,,殺菌剤,ｲﾌﾟﾛｼﾞｵﾝ,2,ﾄﾘﾌﾛｷｼｽﾄﾛﾋﾞﾝ,11,,,,,,
セ,ｾﾚｽﾄFS,23363,,殺菌剤,ﾌﾙｼﾞｵｷｿﾆﾙ,12,,,,,,,,
漢字,協友ｹﾞｯﾀｰ水和剤,23366,,殺菌剤,ｼﾞｴﾄﾌｪﾝｶﾙﾌﾞ,10,ﾁｵﾌｧﾈｰﾄﾒﾁﾙ,1,,,,,,
オ,ｵﾌﾞﾃｲﾝﾌﾛｱﾌﾞﾙ,23367,,殺菌剤,ﾍﾟﾝﾌﾙﾌｪﾝ,7,,,,,,,,
フ,ﾌﾟﾛﾊﾟﾃｨﾌﾛｱﾌﾞﾙ,23368,,殺菌剤,ﾋﾟﾘｵﾌｪﾉﾝ,50,,,,,,,,
マ,ﾏｲﾛｰｽﾞ殺菌ｽﾌﾟﾚｰ,23374,,殺菌剤,ﾐｸﾛﾌﾞﾀﾆﾙ,3,,,,,,,,
ソ,ｿﾞｴﾃｨｽﾊﾞｸﾃｻｲﾄﾞ水和剤,23375,,殺菌剤,ｵｷｼﾃﾄﾗｻｲｸﾘﾝ,41,ｽﾄﾚﾌﾟﾄﾏｲｼﾝ硫酸塩,25,水酸化第二銅,M1,,,,
エ,ｴｰﾂｰｼﾞｰ,23376,,殺菌剤,ﾌﾗﾒﾄﾋﾟﾙ,7,ﾒﾄｺﾅｿﾞｰﾙ,3,,,,,,
オ,ｵﾙﾌｨﾝﾌﾟﾗｽﾌﾛｱﾌﾞﾙ,23387,,殺菌剤,ﾃﾌﾞｺﾅｿﾞｰﾙ,3,ﾌﾙｵﾋﾟﾗﾑ,"「-」(I*), 7(F*)",,,,,,
ト,ﾄﾗｲ粉剤DL,23401,,殺菌剤,ﾃﾌﾞﾌﾛｷﾝ,U16,,,,,,,,
ク,ｸﾐｱｲﾄﾗｲ粉剤DL,23402,,殺菌剤,ﾃﾌﾞﾌﾛｷﾝ,U16,,,,,,,,
M,MICﾍﾟﾝｺｾﾞﾌﾞ顆粒水和剤,23420,,殺菌剤,ﾏﾝｾﾞﾌﾞ,"UN(I*), M3(F*)",,,,,,,,
カ,ｶﾞｯﾃﾝﾌﾛｱﾌﾞﾙ2,23423,,殺菌剤,ﾌﾙﾁｱﾆﾙ,U13,,,,,,,,
ユ,ﾕﾆｿﾞﾝ水和剤,23428,,殺菌剤,ﾍﾟﾝﾁｵﾋﾟﾗﾄﾞ,7,ﾏﾝｾﾞﾌﾞ,"UN(I*), M3(F*)",,,,,,
