selected_crop_id,match_crop_id
1,1
1,5414
1,5415
1,23320
1,24209
1,24211
1,549
1,1085
1,102
1,7574
1,11879
1,12765
1,18815
1,22175
1,22226
1,23659
1,24100
1,24500
1,24738
1,30585
1,30908
1,32530
1,33857
1,35643
1,37079
1,39273
1,46953
1,51009
1,58625
1,122969
1,127021
1,130106
1,137882
1,145249
1,145480
1,150956
1,153734
1,155091
1,691
1,26494
1,40068
1,40134
1,55006
1,143112
3,3
3,1495
3,27338
3,1085
3,7574
3,11879
3,12765
3,22226
3,23659
3,24100
3,30585
3,30908
3,32530
3,35643
3,39273
3,46953
3,51009
3,122969
3,127021
3,130106
3,137882
3,145249
3,150956
3,153734
3,155091
3,26494
3,40068
3,55006
5,5
5,4334
5,5380
5,5384
5,1085
5,7574
5,11879
5,12765
5,22226
5,23659
5,24100
5,24738
5,25992
5,32530
5,33857
5,35643
5,39273
5,41949
5,45798
5,46953
5,58625
5,122969
5,127021
5,137882
5,150956
5,153734
5,26494
5,40068
5,55006
7,7
7,4547
7,4549
7,7831
7,7832
7,7833
7,10632
7,22724
7,131205
7,1085
7,7574
7,11879
7,12765
7,24100
7,24738
7,25992
7,30585
7,30908
7,31923
7,32530
7,33857
7,39273
7,41949
7,46953
7,47803
7,50380
7,51009
7,53761
7,58625
7,127021
7,130106
7,137882
7,145249
7,150956
7,153734
7,26494
7,40068
7,55006
8,8
8,1085
8,7574
8,11879
8,12765
8,16800
8,22226
8,23659
8,24100
8,24738
8,25992
8,30585
8,30908
8,31923
8,32530
8,33857
8,35643
8,39273
8,41949
8,45798
8,46953
8,47803
8,50380
8,51009
8,53761
8,58625
8,122969
8,127021
8,130106
8,137882
8,145249
8,150956
8,153734
8,155091
8,26494
8,40068
8,55006
9,9
9,4612
9,142568
9,449
9,11567
9,12642
9,12777
9,16793
9,23658
9,24097
9,34637
9,45728
9,54828
9,124206
9,137126
9,153788
9,26965
9,46816
9,143328
9,143329
10,10
10,12511
10,53138
14,14
14,8470
14,9199
14,23239
14,23240
14,23241
14,23242
14,27925
14,35035
14,123009
14,138141
14,449
14,12642
14,16793
14,23658
14,24097
14,45728
14,54828
14,123008
14,26965
14,46816
21,21
21,1085
21,7574
21,11879
21,12765
21,16800
21,22226
21,23659
21,24100
21,24738
21,25992
21,30585
21,30908
21,31923
21,32530
21,33857
21,35643
21,39273
21,41949
21,45798
21,46953
21,47803
21,50380
21,51009
21,53761
21,58625
21,122969
